iter	Passed	Remaining
903	1189	126
904	1192	125
905	1193	123
906	1194	122
907	1195	121
908	1196	119
909	1197	118
910	1197	117
911	1198	115
912	1199	114
913	1199	112
914	1201	111
915	1202	110
916	1203	108
917	1204	107
918	1205	106
919	1206	104
920	1207	103
921	1208	102
922	1209	100
923	1210	99
924	1212	98
925	1213	96
926	1214	95
927	1215	94
928	1215	92
929	1216	91
930	1217	90
931	1218	88
932	1218	87
933	1220	86
934	1221	84
935	1222	83
936	1224	82
937	1225	81
938	1226	79
939	1227	78
940	1228	77
941	1228	75
942	1229	74
943	1230	73
944	1231	71
945	1232	70
946	1233	69
947	1234	67
948	1235	66
949	1236	65
950	1239	63
951	1240	62
952	1242	61
953	1243	59
954	1245	58
955	1246	57
956	1246	56
957	1247	54
958	1248	53
959	1249	52
960	1259	51
961	1261	49
962	1262	48
963	1263	47
964	1264	45
965	1266	44
966	1267	43
967	1269	41
968	1270	40
969	1271	39
970	1271	37
971	1272	36
972	1273	35
973	1274	34
974	1275	32
975	1276	31
976	1277	30
977	1277	28
978	1278	27
979	1280	26
980	1282	24
981	1284	23
982	1285	22
983	1286	20
984	1286	19
985	1287	18
986	1288	16
987	1289	15
988	1289	14
989	1290	13
990	1291	11
991	1292	10
992	1293	9
993	1296	7
994	1300	6
995	1301	5
996	1302	3
997	1302	2
998	1303	1
999	1304	0
